url,title,start_year,end_year,parent,status,broadcasting_duration
/wiki/Dokgo_Rewind,Dokgo Rewind,2018.0,2018.0,,completed,0.0
/wiki/Dong_Yi_(TV_series),Dong Yi,2010.0,2010.0,,completed,0.0
/wiki/Don%27t_Cry_My_Love_(TV_series),Don't Cry My Love,2008.0,2009.0,,completed,1.0
/wiki/Don%27t_Dare_to_Dream,Don't Dare to Dream,2016.0,2016.0,,completed,0.0
/wiki/Don%27t_Hesitate,Don't Hesitate,2009.0,2010.0,,completed,1.0
/wiki/Don%27t_Look_Back:_The_Legend_of_Orpheus,Don't Look Back: The Legend of Orpheus,2013.0,2013.0,,completed,0.0
/wiki/Doom_at_Your_Service,Doom at Your Service,2021.0,2021.0,,completed,0.0
/wiki/Doona!,Doona!,2023.0,2023.0,,completed,0.0
/wiki/Drama_City,Drama City,1984.0,2008.0,,completed,24.0
/wiki/Drama_City:_What_Should_I_Do%3F,Drama City: What Should I Do?,2004.0,2004.0,/wiki/Drama_City,completed,0.0
/wiki/Drama_Special_Series,Drama Special Series,2010.0,2013.0,,completed,3.0
